movie_title,original_title,type,description,content_rating,genres
The Silence of the Lambs,The Silence of the Lambs,movie,A young FBI cadet is aided by a manipulative cannibal killer in her pursuit of a madman who skins his victims.,R,"['Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Horror', 'Thriller']"
Saving Private Ryan,Saving Private Ryan,movie,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,"['Action Epic', 'Epic', 'Period Drama', 'Tragedy', 'War Epic', 'Drama', 'War']"
Seven Samurai,Shichinin no samurai,movie,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Not Rated,"['Japanese', 'Action Epic', 'Epic', 'Period Drama', 'Samurai', 'Action', 'Drama']"
The Green Mile,The Green Mile,movie,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,R,"['Period Drama', 'Prison Drama', 'Psychological Drama', 'Supernatural Fantasy', 'Tragedy', 'Crime', 'Drama', 'Fantasy', 'Mystery']"
City of God,Cidade de Deus,movie,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",R,"['Portuguese', 'Caper', 'Coming-of-Age', 'Epic', 'Gangster', 'Political Drama', 'Psychological Drama', 'Crime', 'Drama']"
Life Is Beautiful,La vita è bella,movie,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",PG-13,"['Italian', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Tragic Romance', 'Comedy', 'Drama', 'Romance', 'War']"
Terminator 2: Judgment Day,Terminator 2: Judgment Day,movie,"A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg.",R,"['Terminator', 'Action Epic', 'Artificial Intelligence', 'Dark Comedy', 'Dystopian Sci-Fi', 'One-Person Army Action', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure']"
Back to the Future,Back to the Future,movie,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,"['High-Concept Comedy', 'Teen Adventure', 'Teen Comedy', 'Time Travel', 'Urban Adventure', 'Adventure', 'Comedy', 'Sci-Fi']"
Star Wars: Episode IV - A New Hope,Star Wars,movie,"A farmboy joins forces with various allies to save their galaxy from the evil Empire's planet-destroying battle station, while also rescuing the princess leading the rebellion against them.",PG,"['Star Wars', 'Adventure Epic', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']"
Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,movie,"A female assassin seeks revenge on her former lover and squad members, all of whom left her for dead.",Not Rated,"['Action Epic', 'Kung Fu', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']"
Spirited Away,Sen to Chihiro no kamikakushi,movie,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",PG,"['Japanese', 'Anime', 'Coming-of-Age', 'Fairy Tale', 'Hand-Drawn Animation', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Family', 'Fantasy']"
Gladiator,Gladiator,movie,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,"['Action Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']"
The Pianist,The Pianist,movie,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",R,"['Docudrama', 'Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'War Epic', 'Biography', 'Drama', 'Music', 'War']"
Parasite,Gisaengchung,movie,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,R,"['Korean', 'Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Thriller']"
Grave of the Fireflies,Hotaru no haka,movie,A young boy and his little sister struggle to survive in Japan during World War II.,Not Rated,"['Japanese', 'Adult Animation', 'Anime', 'Hand-Drawn Animation', 'Period Drama', 'Psychological Drama', 'Tragedy', 'Animation', 'Drama', 'War']"
Psycho,Psycho,movie,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,R,"['Dark Comedy', 'Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']"
The Lion King,The Lion King,movie,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",G,"['Adventure Epic', 'Animal Adventure', 'Coming-of-Age', 'Hand-Drawn Animation', 'Jungle Adventure', 'Adventure', 'Animation', 'Drama', 'Family', 'Musical']"
